HVCN1	1.89425668696268e-10
NXPH4	5.55517517499318e-10
SLC7A5	9.26762771653016e-10
CDHR5	1.07644187731583e-09
SCT	2.53015408708351e-09
RNF126	2.79412883305921e-09
NCAM2	4.1775087005493e-09
METRNL	4.65234843554652e-09
ZBTB17	5.77623469090157e-09
CA5A	8.75026126889706e-09
C10ORF10	1.10518207512534e-08
IRF7	1.51691291360283e-08
CELF5	1.57805793303252e-08
TGIF1	2.42549078568957e-08
SHMT2	2.55239100694199e-08
S100Z	2.55578093344449e-08
GIPR	3.04673729124205e-08
MANEA	3.81374377348053e-08
IGHA1	3.89203926219638e-08
SLC29A4	4.15116023074434e-08
ELL2	5.03602285096864e-08
STAT5A	5.19634931506665e-08
ADAMTS1	5.24599389629233e-08
TNIP2	6.53596136845406e-08
AGO2	6.9211316658371e-08
TM6SF1	7.72724863995222e-08
DYNLRB2	7.86425050856008e-08
KPNB1	8.83703831834139e-08
SLA	9.36206717918532e-08
MATN1-AS1	1.01914415008652e-07
ACSF3	1.06337728711532e-07
RCAN3	1.06538451404272e-07
DOCK1	1.27678976193058e-07
TNFRSF18	1.32794100643204e-07
PQLC3	1.3854707358472e-07
PMEPA1	1.75683870113927e-07
LOC390937	1.86370070436364e-07
FOXP4-AS1	2.05029920667667e-07
NPHP3	2.13238456668246e-07
MATN1	2.26000912325902e-07
SLA2	2.29119758748054e-07
IFITM10	2.38825715693402e-07
SHD	2.43328275403357e-07
KLHDC4	2.51205638877735e-07
RAPGEF1	2.84657615893895e-07
RAMP1	3.07297020437136e-07
INPP5F	3.30984086612901e-07
CENPU	3.46231427910042e-07
CCDC97	3.56308474728642e-07
DNAH1	3.7153537546969e-07
ZDHHC20	3.73368458891601e-07
DPP4	3.89890489556629e-07
ACRC	3.96985156928558e-07
CXCR3	3.96985156928558e-07
ANP32A-IT1	4.1935046348939e-07
BMP8A	4.28854583477978e-07
SERPINF2	4.40740481001417e-07
SELO	4.68429165663933e-07
SSU72	5.31681761342092e-07
ENTPD6	5.66583743051469e-07
TNFRSF4	6.38847573166081e-07
SSB	7.46461434858447e-07
CLNK	7.84758564135329e-07
PHRF1	8.81531457963724e-07
BAP1	9.03463286253314e-07
SMAD7	9.33552647240948e-07
PPP3CB	1.00865884073561e-06
PPP3CB-AS1	1.00865884073561e-06
PDCD1	1.09239253223314e-06
CYBA	1.23738084034229e-06
POLN	1.38384792292628e-06
TBCD	1.40663825411777e-06
HAUS3	1.4582302562953e-06
BRSK2	1.53389232346942e-06
RUNX3	1.55329054278882e-06
C19ORF38	1.68755527998246e-06
TMEM72	1.85540859713036e-06
HSPA2	1.96021889162126e-06
PPP1R36	1.96021889162126e-06
PDXK	2.0724382510233e-06
VASH1	2.63152753248514e-06
CRELD2	2.6861279716886e-06
ADAP1	2.76871670552959e-06
HAS1	2.82300369735472e-06
TBPL1	2.92936966697538e-06
DRD4	3.028450601776e-06
LRRC16B	3.04602064684815e-06
MFF	3.12869549120131e-06
ADCY3	3.1320637277708e-06
SEPT2	3.17633724348163e-06
PLEKHA2	3.25754765505887e-06
GABPB2	3.33649638602081e-06
MIR614	3.35750909467784e-06
AGRN	3.47385780512827e-06
PCGF5	3.61388347258451e-06
FARP2	3.66505411710894e-06
CD82	3.69530642326877e-06
ZNF750	3.71009958592144e-06
SQSTM1	3.73553476261062e-06
FAM213B	4.00915212210393e-06
HIF1A-AS2	4.1091867422614e-06
C16ORF72	4.22168220434207e-06
NFKBIZ	4.29938958205217e-06
KCTD11	4.32234214664826e-06
TMEM95	4.32234214664826e-06
PEX16	4.34777352426878e-06
ZBTB7A	4.41626860341465e-06
VPS4A	4.53952348724762e-06
PLEC	4.6117806620342e-06
RGCC	4.61323737539855e-06
ACVR1B	4.64304485610872e-06
GNAI2	4.66215524274074e-06
TRIP4	4.80644884656772e-06
CCDC85C	4.82265605239703e-06
KIAA0101	4.84664073178196e-06
OTULIN	4.85979717931271e-06
TXNDC15	4.91224145199032e-06
SKI	4.93886762363083e-06
ARHGEF1	5.17938461313334e-06
PDE4A	5.26004671574027e-06
N4BP2L1	5.30229794173962e-06
SUSD1	5.36454673610578e-06
SETD9	5.58484788042985e-06
TNFSF9	5.62609138088938e-06
CEP131	5.86600275828903e-06
ATP5B	6.17784293375466e-06
BAZ2A	6.46684713350649e-06
IGHM	6.62225924655824e-06
PHF7	6.67720383913252e-06
NAF1	6.74637073724799e-06
SEMA4D	6.89513735374934e-06
MYH3	6.9181137337212e-06
CRIP1	7.0101277024787e-06
C14ORF80	7.0101277024787e-06
DNAH2	7.21107927174804e-06
CPNE8	7.24899338893221e-06
DUSP2	7.28232884535577e-06
PYROXD2	7.32677556991075e-06
RABGGTB	7.41371192851807e-06
IL21R	7.43242079062306e-06
AK2	7.44810092531461e-06
ENTHD2	7.46631100988354e-06
VGLL1	7.56833949915505e-06
CCM2	7.75647520168239e-06
SEMA6C	7.77279022734331e-06
VAMP3	7.77728958967704e-06
